,District Name,Market Name,Variety,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
49,Ghaziabad,Ghaziabad,Red,6.5,215.0,215.0,215.0,2002-06-12
50,Ghaziabad,Ghaziabad,Red,12.0,320.0,320.0,320.0,2002-06-26
51,Ghaziabad,Ghaziabad,Red,45.0,320.0,330.0,325.0,2002-06-27
42,Ghaziabad,Ghaziabad,Red,44.0,325.0,350.0,340.0,2002-07-03
43,Ghaziabad,Ghaziabad,Red,38.0,280.0,330.0,310.0,2002-07-05
44,Ghaziabad,Ghaziabad,Red,50.0,300.0,350.0,330.0,2002-07-15
45,Varanasi,Varanasi(Grain),Nasik,3700.0,460.0,500.0,475.0,2002-07-16
46,Ghaziabad,Ghaziabad,Red,42.0,300.0,380.0,360.0,2002-07-19
47,Ghaziabad,Ghaziabad,Red,35.0,380.0,400.0,390.0,2002-07-22
48,Ghaziabad,Ghaziabad,Red,29.0,380.0,410.0,395.0,2002-07-25
0,Varanasi,Varanasi(Grain),Nasik,3700.0,460.0,510.0,480.0,2002-08-02
1,Varanasi,Varanasi(Grain),Nasik,3000.0,465.0,510.0,490.0,2002-08-03
2,Varanasi,Varanasi(Grain),Nasik,2200.0,475.0,510.0,500.0,2002-08-05
3,Varanasi,Varanasi(Grain),Nasik,2500.0,490.0,520.0,510.0,2002-08-07
5,Varanasi,Varanasi(Grain),Nasik,3500.0,500.0,530.0,520.0,2002-08-08
6,Ghaziabad,Ghaziabad,Red,35.0,390.0,440.0,415.0,2002-08-09
9,Varanasi,Varanasi(Grain),Nasik,2500.0,500.0,530.0,525.0,2002-08-10
10,Ghaziabad,Ghaziabad,Red,36.0,390.0,440.0,420.0,2002-08-11
13,Varanasi,Varanasi(Grain),Nasik,3800.0,500.0,540.0,530.0,2002-08-12
14,Lucknow,Lucknow,Red,160.0,0.0,0.0,505.0,2002-08-13
16,Lucknow,Lucknow,Red,145.0,0.0,0.0,505.0,2002-08-14
20,Lucknow,Lucknow,Red,140.0,0.0,0.0,510.0,2002-08-16
22,Lucknow,Lucknow,Red,160.0,0.0,0.0,515.0,2002-08-17
24,Lucknow,Lucknow,Red,140.0,0.0,0.0,520.0,2002-08-19
26,Shahjahanpur,Shahjahanpur,Other,250.0,535.0,575.0,560.0,2002-08-20
27,Bareilly,Bareilly,Nasik,20.0,300.0,375.0,325.0,2002-08-21
29,Kanpur,Kanpur(Grain),Other,40.0,0.0,480.0,475.0,2002-08-23
31,Kanpur,Kanpur(Grain),Other,30.0,0.0,490.0,480.0,2002-08-24
34,Shahjahanpur,Shahjahanpur,Other,150.0,400.0,500.0,450.0,2002-08-26
36,Shahjahanpur,Shahjahanpur,Other,80.0,360.0,480.0,470.0,2002-08-27
38,Shahjahanpur,Shahjahanpur,Other,125.0,370.0,500.0,485.0,2002-08-28
40,Shahjahanpur,Shahjahanpur,Other,200.0,380.0,510.0,490.0,2002-08-29
41,Ghaziabad,Ghaziabad,Red,26.0,400.0,460.0,435.0,2002-08-31
236,Unnao,Unnao,Red,12.0,675.0,700.0,690.0,2002-10-01
237,Muzaffarnagar,Shamli,Red,1.0,500.0,620.0,610.0,2002-10-02
244,Muzaffarnagar,Shamli,Red,2.5,500.0,625.0,600.0,2002-10-03
247,Bahraich,Bahraich,Red,15.0,560.0,650.0,580.0,2002-10-04
263,Varanasi,Varanasi(Grain),Nasik,8000.0,560.0,600.0,575.0,2002-10-05
264,Rampur,Rampur,Red,3.0,400.0,465.0,445.0,2002-10-06
270,Rampur,Rampur,Red,5.0,420.0,500.0,445.0,2002-10-07
271,Bahraich,Bahraich,Red,15.0,560.0,625.0,600.0,2002-10-08
278,Bulandshahar,Buland Shahr,Other,7.0,600.0,700.0,650.0,2002-10-09
282,Bulandshahar,Buland Shahr,Other,2.5,600.0,750.0,660.0,2002-10-10
288,Ballia,Ballia,Onion,22.0,0.0,600.0,600.0,2002-10-11
294,Bulandshahar,Buland Shahr,Other,2.0,650.0,750.0,700.0,2002-10-12
296,Unnao,Unnao,Red,15.0,700.0,750.0,725.0,2002-10-13
297,Bulandshahar,Buland Shahr,Other,2.0,650.0,750.0,700.0,2002-10-14
301,Unnao,Unnao,Red,14.0,710.0,730.0,720.0,2002-10-15
302,Ballia,Ballia,Onion,5.0,0.0,650.0,650.0,2002-10-16
311,Mainpuri,Mainpuri,Other,35.0,670.0,690.0,680.0,2002-10-17
319,Unnao,Unnao,Red,1.0,715.0,750.0,725.0,2002-10-18
321,Gorakhpur,Gorakhpur,Red,26.9,975.0,990.0,985.0,2002-10-19
327,Unnao,Unnao,Red,8.0,700.0,750.0,725.0,2002-10-20
329,Varanasi,Varanasi(Grain),Nasik,3500.0,600.0,650.0,625.0,2002-10-21
330,Ballia,Ballia,Onion,10.0,0.0,630.0,630.0,2002-10-22
342,Varanasi,Varanasi(Grain),Nasik,3000.0,600.0,640.0,625.0,2002-10-23
343,Ballia,Ballia,Onion,7.0,0.0,620.0,620.0,2002-10-24
351,Bahraich,Bahraich,Red,2.0,650.0,700.0,675.0,2002-10-25
363,Rampur,Rampur,Red,4.0,450.0,530.0,480.0,2002-10-26
365,Unnao,Unnao,Red,1.0,710.0,750.0,725.0,2002-10-27
366,Ballia,Ballia,Onion,2.0,0.0,640.0,640.0,2002-10-28
371,Ballia,Ballia,Onion,4.0,0.0,650.0,650.0,2002-10-29
377,Gorakhpur,Gorakhpur,Red,51.5,880.0,920.0,900.0,2002-10-30
382,Ballia,Ballia,Onion,4.0,0.0,650.0,650.0,2002-10-31
57,Varanasi,Varanasi(Grain),Nasik,2500.0,650.0,750.0,700.0,2002-11-01
58,Ballia,Ballia,Onion,6.0,640.0,660.0,650.0,2002-11-02
64,Unnao,Unnao,Red,1.0,715.0,750.0,735.0,2002-11-03
65,Muzaffarnagar,Shamli,Red,0.2,400.0,500.0,450.0,2002-11-04
66,Bulandshahar,Buland Shahr,Other,5.0,700.0,820.0,750.0,2002-11-06
68,Ballia,Ballia,Onion,5.0,630.0,650.0,640.0,2002-11-07
73,Bulandshahar,Buland Shahr,Other,5.0,700.0,830.0,750.0,2002-11-08
80,Bulandshahar,Buland Shahr,Other,8.0,700.0,840.0,750.0,2002-11-09
82,Unnao,Unnao,Red,1.3,710.0,750.0,725.0,2002-11-10
83,Ghaziabad,Ghaziabad,Red,40.0,470.0,515.0,500.0,2002-11-11
86,Ballia,Ballia,Onion,2.3,680.0,720.0,700.0,2002-11-12
93,Muzaffarnagar,Shamli,Red,2.0,550.0,700.0,625.0,2002-11-13
103,Varanasi,Varanasi(Grain),Other,5000.0,700.0,850.0,800.0,2002-11-14
108,Lakhimpur,Lakhimpur,Red,13.0,600.0,690.0,650.0,2002-11-15
119,Mainpuri,Mainpuri,Other,120.0,855.0,865.0,860.0,2002-11-16
125,Unnao,Unnao,Red,1.0,775.0,815.0,800.0,2002-11-17
132,Varanasi,Varanasi(Grain),Other,800.0,650.0,1000.0,800.0,2002-11-18
134,Rampur,Rampur,Red,5.0,410.0,500.0,440.0,2002-11-19
137,Bulandshahar,Buland Shahr,Other,5.0,500.0,650.0,550.0,2002-11-20
156,Varanasi,Varanasi(Grain),Other,700.0,650.0,750.0,700.0,2002-11-21
157,Bahraich,Bahraich,Red,3.0,650.0,700.0,680.0,2002-11-22
172,Ghaziabad,Ghaziabad,Red,45.0,375.0,420.0,400.0,2002-11-23
181,Firozabad,Firozabad,Other,40.0,480.0,550.0,500.0,2002-11-24
184,Ballia,Ballia,Red,2.2,580.0,700.0,600.0,2002-11-25
196,Muzaffarnagar,Shamli,Red,11.0,350.0,425.0,375.0,2002-11-26
207,Varanasi,Varanasi(Grain),Other,7000.0,550.0,650.0,600.0,2002-11-27
216,Varanasi,Varanasi(Grain),Other,700.0,575.0,625.0,600.0,2002-11-28
217,Bahraich,Bahraich,Red,13.5,450.0,500.0,480.0,2002-11-29
229,Muzaffarnagar,Shamli,Red,0.6,300.0,360.0,340.0,2002-11-30
2333,Jaunpur,Jaunpur,Red,20.0,300.0,360.0,325.0,2003-01-01
2357,Varanasi,Varanasi(Grain),Other,500.0,350.0,450.0,400.0,2003-01-02
2370,Lakhimpur,Lakhimpur,Red,17.0,250.0,300.0,285.0,2003-01-03
2390,Lakhimpur,Lakhimpur,Red,15.0,260.0,300.0,285.0,2003-01-04
2401,Unnao,Unnao,Red,3.0,325.0,340.0,330.0,2003-01-05
2419,Sitapur,Sitapur,Red,20.0,250.0,360.0,350.0,2003-01-06
2432,Lalitpur,Lalitpur,Red,26.0,300.0,300.0,300.0,2003-01-07
2451,Lakhimpur,Lakhimpur,Red,10.0,270.0,290.0,280.0,2003-01-08
2470,Lalitpur,Lalitpur,Red,19.0,225.0,225.0,225.0,2003-01-09
2492,Lakhimpur,Lakhimpur,Red,15.0,250.0,290.0,275.0,2003-01-10
2515,Lalitpur,Lalitpur,Red,20.0,300.0,300.0,300.0,2003-01-11
2528,Unnao,Unnao,Red,1.7,320.0,330.0,325.0,2003-01-12
2540,Mainpuri,Mainpuri,Other,180.0,265.0,275.0,270.0,2003-01-13
2563,Unnao,Unnao,Red,1.8,325.0,335.0,330.0,2003-01-14
2579,Gorakhpur,Gorakhpur,Red,51.0,365.0,400.0,395.0,2003-01-15
2606,Kanpur,Kanpur(Grain),Red,220.0,235.0,255.0,245.0,2003-01-16
2638,Mainpuri,Mainpuri,Other,280.0,210.0,230.0,220.0,2003-01-17
2664,Jhansi,Jhansi,Red,60.0,0.0,275.0,250.0,2003-01-18
2682,Gorakhpur,Gorakhpur,Red,35.0,370.0,400.0,395.0,2003-01-19
2702,Jhansi,Jhansi,Red,40.0,0.0,275.0,250.0,2003-01-20
