State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Auraiya,Achalda,Red,Vegetables,17.0,1130,1200,1175,01 Apr 2014
Uttar Pradesh,Aligarh,Aligarh,Red,Vegetables,75.0,1100,1150,1120,01 Apr 2014
Uttar Pradesh,Allahabad,Allahabad,Red,Vegetables,250.0,0,0,1100,01 Apr 2014
Uttar Pradesh,Banda,Atarra,Red,Vegetables,8.0,0,0,960,01 Apr 2014
Uttar Pradesh,Auraiya,Auraiya,Red,Vegetables,20.0,870,950,900,01 Apr 2014
Uttar Pradesh,Banda,Baberu,Other,Vegetables,7.0,0,0,1100,01 Apr 2014
Uttar Pradesh,Bahraich,Bahraich,Red,Vegetables,54.0,1250,1290,1270,01 Apr 2014
Uttar Pradesh,Ballia,Ballia,Red,Vegetables,50.0,0,0,1210,01 Apr 2014
Uttar Pradesh,Balrampur,Balrampur,Other,Vegetables,5.0,1220,1245,1235,01 Apr 2014
Uttar Pradesh,Barabanki,Barabanki,Red,Vegetables,29.0,1150,1370,1200,01 Apr 2014
Uttar Pradesh,Baghpat,Baraut,Other,Vegetables,11.0,1010,1160,1080,01 Apr 2014
Uttar Pradesh,Bareilly,Bareilly,Red,Vegetables,20.0,0,0,1130,01 Apr 2014
Uttar Pradesh,Basti,Basti,Other,Vegetables,18.5,0,0,1220,01 Apr 2014
Uttar Pradesh,Etawah,Bharthna,Red,Vegetables,3.8,0,0,1175,01 Apr 2014
Uttar Pradesh,Kaushambi,Bharwari,Red,Vegetables,5.0,0,0,1070,01 Apr 2014
Uttar Pradesh,Fatehpur,Bindki,Onion,Vegetables,38.7,0,0,1255,01 Apr 2014
Uttar Pradesh,Farukhabad,Chhibramau,Red,Vegetables,11.0,0,0,1235,01 Apr 2014
Uttar Pradesh,Gorakhpur,Chorichora,Red,Vegetables,1.5,1150,1250,1200,01 Apr 2014
Uttar Pradesh,Deoria,Devariya,Onion,Vegetables,70.0,1170,1190,1180,01 Apr 2014
Uttar Pradesh,Etawah,Etawah,Red,Vegetables,26.0,1000,1200,1100,01 Apr 2014
Uttar Pradesh,Faizabad,Faizabad,Onion,Vegetables,29.0,1150,1180,1170,01 Apr 2014
