State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Auraiya,Achalda,Red,Vegetables,1.0,2000,2100,2050,01 Jan 2021
Uttar Pradesh,Agra,Achnera,Red,Vegetables,3.7,2000,2100,2050,01 Jan 2021
Uttar Pradesh,Allahabad,Ajuha,Red,Vegetables,8.0,2200,2450,2250,01 Jan 2021
Uttar Pradesh,Aligarh,Aligarh,Red,Vegetables,40.0,2350,2450,2400,01 Jan 2021
Uttar Pradesh,Allahabad,Allahabad,Red,Vegetables,55.0,2000,2300,2150,01 Jan 2021
Uttar Pradesh,Maharajganj,Anandnagar,Red,Vegetables,3.8,2370,2625,2500,01 Jan 2021
Uttar Pradesh,Bareilly,Anwala,Red,Vegetables,16.0,1600,1800,1700,01 Jan 2021
Uttar Pradesh,Aligarh,Atrauli,Red,Vegetables,1.3,2130,2220,2180,01 Jan 2021
Uttar Pradesh,Auraiya,Auraiya,Red,Vegetables,3.5,1900,2200,2050,01 Jan 2021
Uttar Pradesh,Etah,Awagarh,Red,Vegetables,0.3,2200,2300,2250,01 Jan 2021
Uttar Pradesh,Banda,Baberu,Red,Vegetables,1.2,1870,2030,1950,01 Jan 2021
Uttar Pradesh,Bareilly,Bahedi,Red,Vegetables,3.0,1845,1910,1870,01 Jan 2021
Uttar Pradesh,Bahraich,Bahraich,Red,Vegetables,5.0,2200,2350,2300,01 Jan 2021
Uttar Pradesh,Ballia,Ballia,Red,Vegetables,60.0,2290,2420,2350,01 Jan 2021
Uttar Pradesh,Banda,Banda,Red,Vegetables,9.0,1960,2110,2050,01 Jan 2021
Uttar Pradesh,Unnao,Bangarmau,Red,Vegetables,18.0,2000,2100,2010,01 Jan 2021
Uttar Pradesh,Barabanki,Barabanki,Red,Vegetables,24.5,0,0,2280,01 Jan 2021
Uttar Pradesh,Bareilly,Bareilly,Red,Vegetables,11.0,2450,2550,2500,01 Jan 2021
Uttar Pradesh,Deoria,Barhaj,Red,Vegetables,130.0,2380,2450,2400,01 Jan 2021
Uttar Pradesh,Basti,Basti,Red,Vegetables,45.0,2050,2150,2100,01 Jan 2021
Uttar Pradesh,Etawah,Bharthna,Red,Vegetables,2.2,1850,2200,2100,01 Jan 2021
Uttar Pradesh,Hamirpur,Bharuasumerpur,Red,Vegetables,1.0,2300,2500,2400,01 Jan 2021
Uttar Pradesh,Bijnor,Bijnaur,Red,Vegetables,9.0,2600,2700,2650,01 Jan 2021
Uttar Pradesh,Badaun,Bilsi,Red,Vegetables,0.8,3000,3150,3100,01 Jan 2021
Uttar Pradesh,Bijnor,Chaandpur,Red,Vegetables,0.03,1300,1600,1450,01 Jan 2021
Uttar Pradesh,Aligarh,Charra,Red,Vegetables,1.4,2380,2480,2450,01 Jan 2021
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Red,Vegetables,1.2,2300,2500,2400,01 Jan 2021
Uttar Pradesh,Jhansi,Chirgaon,Red,Vegetables,1.5,1200,1350,1300,01 Jan 2021
Uttar Pradesh,Gorakhpur,Chorichora,Red,Vegetables,10.0,2200,2400,2280,01 Jan 2021
Uttar Pradesh,Kanpur,Choubepur,Red,Vegetables,1.4,2000,2100,2050,01 Jan 2021
Uttar Pradesh,Saharanpur,Chutmalpur,Onion,Vegetables,0.1,2000,2200,2100,01 Jan 2021
